Candidate,Similarity Score
Candidate_010,0.9661534
Candidate_026,0.9650131
Candidate_047,0.96404284
Candidate_075,0.9638629
Candidate_103,0.963656
Candidate_104,0.9628941
Candidate_066,0.96279126
Candidate_098,0.96228355
Candidate_037,0.96195877
Candidate_095,0.9613738
Candidate_031,0.9612709
Candidate_107,0.96061236
Candidate_110,0.9601843
Candidate_090,0.9601739
Candidate_088,0.96011204
Candidate_071,0.9598038
Candidate_029,0.95943165
Candidate_092,0.95938605
Candidate_028,0.9591092
Candidate_045,0.95886034
Candidate_052,0.958815
Candidate_024,0.95851797
Candidate_008,0.9583678
Candidate_078,0.95827156
Candidate_086,0.9579554
Candidate_011,0.95787674
Candidate_093,0.9577438
Candidate_106,0.9568599
Candidate_017,0.95673066
Candidate_049,0.9566611
Candidate_003,0.95620644
Candidate_081,0.95589674
Candidate_091,0.9556216
Candidate_053,0.9553267
Candidate_007,0.9551217
Candidate_099,0.9550712
Candidate_108,0.9549813
Candidate_034,0.9549762
Candidate_019,0.9548754
Candidate_105,0.95482326
Candidate_036,0.95449114
Candidate_101,0.9542905
Candidate_055,0.95426595
Candidate_073,0.9536868
Candidate_068,0.95348483
Candidate_009,0.95347536
Candidate_033,0.9531683
Candidate_012,0.9530656
Candidate_076,0.95270544
Candidate_056,0.9526554
Candidate_030,0.95227784
Candidate_018,0.95220494
Candidate_100,0.95156276
Candidate_044,0.9511145
Candidate_109,0.95109445
Candidate_016,0.9503112
Candidate_002,0.95013213
Candidate_070,0.949908
Candidate_027,0.9496751
Candidate_057,0.9495796
Candidate_089,0.949527
Candidate_062,0.9494161
Candidate_084,0.9491695
Candidate_060,0.94914174
Candidate_035,0.94909805
Candidate_083,0.94890255
Candidate_048,0.94745636
Candidate_097,0.9474403
Candidate_006,0.94731337
Candidate_014,0.9467611
Candidate_005,0.94625884
Candidate_058,0.9460718
Candidate_080,0.9459514
Candidate_085,0.94595075
Candidate_054,0.9456672
Candidate_013,0.9454075
Candidate_063,0.9451434
Candidate_096,0.94472986
Candidate_025,0.94447935
Candidate_032,0.94432247
Candidate_077,0.9442512
Candidate_042,0.94329417
Candidate_067,0.94323355
Candidate_020,0.94293046
Candidate_022,0.9422886
Candidate_064,0.9420157
Candidate_041,0.9405566
Candidate_038,0.9402867
Candidate_004,0.94001794
Candidate_039,0.9398976
Candidate_074,0.93907005
Candidate_046,0.9384352
Candidate_072,0.93797445
Candidate_023,0.93776464
Candidate_065,0.9372085
Candidate_015,0.93663096
Candidate_021,0.9361094
Candidate_061,0.93576294
Candidate_059,0.93530446
Candidate_102,0.9351186
Candidate_051,0.9348594
Candidate_094,0.9325038
Candidate_069,0.9323667
Candidate_082,0.92938507
Candidate_043,0.9263781
Candidate_050,0.9262452
Candidate_087,0.92335004
Candidate_001,0.9168108
Candidate_040,0.90745765
Candidate_079,0.90734607
